"";"time";"n.risk";"n.event";"n.censor";"estimate";"std.error";"conf.high";"conf.low"
"64";28,9;967;1;0;0,936954413191076;0,00807864980166445;0,951908095539756;0,922235640721651
"65";29,1290322580645;966;1;0;0,935984481086323;0,00814477288198671;0,951045929910598;0,921161556221357
"66";29,5483870967742;965;1;0;0,935014548981571;0,00821049898529813;0,950182785505292;0,920088450499866
"67";29,741935483871;964;1;0;0,934044616876818;0,00827583798878369;0,949318682669328;0,919016303211695
"68";29,9;963;1;0;0,933074684772065;0,00834079940703361;0,948453641009996;0,917945094749563
"69";30,5;962;1;0;0,932104752667313;0,00840539241047529;0,947587679433505;0,916874806207271
"70";30,8709677419355;961;1;0;0,93113482056256;0,00846962584262134;0,946720816179727;0,915805419344953
"71";31,2903225806452;960;1;0;0,930164888457807;0,00853350823622492;0,945853068854764;0,914736916556517
"72";31,7666666666667;959;1;0;0,929194956353055;0,00859704782842592;0,944984454461477;0,913669280839108
"73";32,1;958;1;0;0,928225024248302;0,00866025257496401;0,944114989428162;0,912602495764443
"74";32,4838709677419;957;1;0;0,927255092143549;0,00872313016352749;0,943244689635474;0,911536545451871
"75";32,6774193548387;956;1;0;0,926285160038797;0,00878568802630165;0,942373570441766;0,91047141454305
"76";33,5666666666667;955;1;0;0,925315227934044;0,00884793335177416;0,941501646706919;0,909407088178107
"77";34,1612903225806;954;1;0;0,924345295829292;0,00890987309585068;0,940628932814801;0,908343551973183
"78";34,4193548387097;953;1;0;0,923375363724539;0,00897151399232925;0,939755442694431;0,907280791999266
"79";35,3225806451613;952;1;0;0,922405431619786;0,00903286256277805;0,938881189839951;0,906218794762225
"80";36;951;0;951;0,922405431619786;0,00903286256277805;0,938881189839951;0,906218794762225
