"ID_COMMUNE";"NOM_COMMUNE";"vc_indice_fdep";"vc_indice_fdep_quartile"
"58203";"OULON";1,61479213532001;"Elevé (>Q3)"
"58045";"LA CELLE-SUR-NIEVRE";0,290715170181303;"Intermédiaire (Q1-Q3)"
"17150";"LES EGLISES-D'ARGENTEUIL";1,29118596096309;"Elevé (>Q3)"
"04045";"CERESTE";0,984908427647763;"Intermédiaire (Q1-Q3)"
"58214";"POUGUES-LES-EAUX";-0,425955999572141;"Faible (<Q1)"
"57289";"HAMBACH";0,588229220261258;"Intermédiaire (Q1-Q3)"
"88367";"RAMBERVILLERS";2,8726664977694;"Elevé (>Q3)"
"54472";"SAINT-CLEMENT";1,20847464931559;"Intermédiaire (Q1-Q3)"
"58257";"SAINT-MAURICE";-0,52122618662211;"Faible (<Q1)"
"54061";"BENAMENIL";1,42859560534419;"Elevé (>Q3)"
"58194";"NEVERS";1,24114744194355;"Intermédiaire (Q1-Q3)"
"58242";"SAINT-GERMAIN-DES-BOIS";1,28542017807674;"Elevé (>Q3)"
"58209";"PERROY";1,68004801948907;"Elevé (>Q3)"
"58161";"MAUX";1,76278668349288;"Elevé (>Q3)"
"21678";"VIC-SOUS-THIL";-0,884431451144335;"Faible (<Q1)"
"71266";"LUCENAY-L'EVEQUE";-0,212040475982156;"Intermédiaire (Q1-Q3)"
"85220";"SAINT-GERMAIN-DE-PRINCAY";1,53377422776611;"Elevé (>Q3)"
"85145";"MONSIREIGNE";1,80077391837342;"Elevé (>Q3)"
"07343";"VINEZAC";0,128719532237749;"Intermédiaire (Q1-Q3)"
"24075";"CAMPAGNAC-LES-QUERCY";0,739670490620996;"Intermédiaire (Q1-Q3)"
"21481";"PERRIGNY-LES-DIJON";-1,64817022209627;"Faible (<Q1)"
"95355";"MAGNY-EN-VEXIN";0,193009768127484;"Intermédiaire (Q1-Q3)"
"26193";"MONTBRUN-LES-BAINS";0,629257768144667;"Intermédiaire (Q1-Q3)"
"70302";"LIEUCOURT";1,40600636206763;"Elevé (>Q3)"
"32332";"PRENERON";0,195638686084847;"Intermédiaire (Q1-Q3)"
"31189";"FORGUES";-2,14870966869047;"Faible (<Q1)"
"26350";"TEYSSIERES";1,32744447362546;"Elevé (>Q3)"
"26244";"LE POET-SIGILLAT";-0,189313763320075;"Intermédiaire (Q1-Q3)"
"33544";"LE VERDON-SUR-MER";1,40591688111627;"Elevé (>Q3)"
"26215";"LA MOTTE-CHALANCON";0,590874282229725;"Intermédiaire (Q1-Q3)"
"21060";"BELLENEUVE";-1,27434596188373;"Faible (<Q1)"
"30346";"VERS-PONT-DU-GARD";-0,414344792588849;"Faible (<Q1)"
"84107";"SAINT-CHRISTOL";-1,35273898073933;"Faible (<Q1)"
"24034";"BELEYMAS";0,918783842440665;"Intermédiaire (Q1-Q3)"
"27591";"SAINT-PIERRE-DE-CORMEILLES";1,01404122382347;"Intermédiaire (Q1-Q3)"
"33232";"LARTIGUE";0,410162124143626;"Intermédiaire (Q1-Q3)"
"40006";"ARENGOSSE";1,72338145269012;"Elevé (>Q3)"
